Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight
1,54765E+12;44615853;-43113124;-41430625;-8795522;834;495;893;553
1,54765E+12;6239552;-2474877;-45315728;-7186886;818;520;883;530
1,54765E+12;35246924;-46792276;-4739267;-6639342;772;542;872;530
1,54765E+12;-17558013;15706217;-4345346;-852081;731;557;750;550
1,54765E+12;-102119215;325277;-3051708;-8266326;682;559;632;548
1,54765E+12;-20697859;10756464;-43346998;-1018502;704;541;784;508
1,54765E+12;10716322;48467793;-33178708;-10327763;738;545;862;509
1,54765E+12;6288421;-6808529;-39673078;-5888769;695;546;898;452
1,54765E+12;-7124434;-29059732;-28494245;-5309956;607;524;896;492
1,54765E+12;10494665;-37950438;-25939083;-5845865;374;510;889;499
1,54765E+12;21354103;-5498485;-49361402;-11836808;553;534;893;437
1,54765E+12;11985176;-4785169;-37917277;-11466187;635;569;901;323
1,54765E+12;-11082841;-37576938;-34191;-908138;677;586;894;289
1,54765E+12;-17664477;-55309486;-292395;-7820756;651;593;849;351
1,54765E+12;-40369466;-20176006;-17315412;-64502764;587;587;752;409
1,54765E+12;-2650108;8094837;-18486528;-68237433;497;580;705;429
1,54765E+12;-23146556;11021754;-10182251;-10138822;631;577;775;407
1,54765E+12;-34218925;-17523106;-257087;-10898281;709;567;870;379
1,54765E+12;-20378464;14398966;19547688;-8464911;716;549;893;412
1,54765E+12;-18355627;-13264502;3665,1915;-6896766;659;541;892;457
1,54765E+12;-43022364;-16550957;40282197;-63553224;552;538;880;478
1,54765E+12;-86149454;-30230847;63180916;-68211284;476;545;874;476
1,54765E+12;-32089624;-8197288;-3741986;-9058854;557;560;874;500
1,54765E+12;-7190756;-11258246;-11327187;-1022213;719;570;880;514
1,54765E+12;-20059069;-6610958;46348962;-7666933;790;571;870;529
1,54765E+12;-11063642;-468394;45923102;-36281157;825;560;825;557
1,54765E+12;-58653533;-3778987;53269196;-23690052;857;535;135;611
1,54765E+12;-9336115;-1030006;-23038346;-49335012;892;542;14;635
1,54765E+12;-8516334;-2842094;4209036;-9910443;914;501;95;651
1,54765E+12;-27085763;-6957057;4672072;-800509;924;455;543;659
1,54765E+12;-21868975;-7100698;35541886;-9030106;927;352;862;648
1,54765E+12;-34805354;-32414255;6694909;-11164019;922;233;925;622
1,54765E+12;-7976155;-7979122;9617462;-4232307;873;111;928;634
1,54765E+12;-93732905;-560495;70623004;-3945405;640;122;909;650
1,54765E+12;-81276494;-80588835;-35814155;-4186386;313;203;909;650
1,54765E+12;-23732987;-94376934;-56707495;-426438;267;267;909;650
1,54765E+12;22045253;-7276452;-39566615;-61407638;206;314;309;685
1,54765E+12;37536797;23158774;5465324;-55086846;460;341;102;663
1,54765E+12;16137314;55204767;71952945;-4127613;614;379;56;607
